patch_id,image,split,source_group,x,y,size,sha256
0,images/test/CRACK500_20160329_094025_1281_721_jpg.rf.d9fd603f5652400ec370f589b9f03048.jpg,test,CRACK500_20160329_094025_1281_721_jpg,64,256,128,7654837762a9f60b310b96a7bd47de4c7833a1047797627c60ea3885801dd941
1,images/test/CFD_024_jpg.rf.951c9ad25190626f73e8fd2f5c94b212.jpg,test,CFD_024_jpg,0,0,128,65eb398828418506fd84e12c5a11a851c487d6be58ae86dcdaad855b31151087
2,images/test/CRACK500_20160222_081839_1_721_jpg.rf.df3bbdf3237cbfe691a1862491a436a1.jpg,test,CRACK500_20160222_081839_1_721_jpg,192,256,128,9053eb0d9774c71ce622a62b4ceac434e74ee089e6b395c2cec9a620394a8389
3,images/test/CRACK500_20160308_074101_1_1_jpg.rf.01d1be0e9f31113aa204809499a6eb41.jpg,test,CRACK500_20160308_074101_1_1_jpg,0,0,128,55dede3f54047dcee67e11e0510ade0062e11751bd00ae91eca0156c831d1dc1
4,images/test/CRACK500_20160222_164822_1281_361_jpg.rf.d88195466f09e9836a689f8668a7a2de.jpg,test,CRACK500_20160222_164822_1281_361_jpg,64,256,128,b119cf4c848ec3d06206f249948cd37804ace534944124a1984a6d3392cbaacd
5,images/test/DeepCrack_IMG_6544-1_jpg.rf.9711a76221bec2e39a2aee5120aa6682.jpg,test,DeepCrack_IMG_6544-1_jpg,0,128,128,12b369ff95605ebceb4ac14cb809fb63409396bb664e0e904fbb4ed6c0c6750a
6,images/test/po_454_jpg.rf.b1e73043fea4327a961bfa24783a2bc7.jpg,test,po_454_jpg,256,0,128,72c45885d5ff2fd9a7e72b4c676d1a92c0e6f287ee359d08d6ada4512a57513e
7,images/test/CRACK500_20160222_115620_641_1081_jpg.rf.71c2549668a37ec0d8cb8a3dd056910a.jpg,test,CRACK500_20160222_115620_641_1081_jpg,128,128,128,da8cc21ce074b1a38c60fd226da9735188ef92281e98b63629f583be3b287249
8,images/test/GAPS384_train_0987_541_641_jpg.rf.e71fe10de070330b87b6ae922ec5f0d1.jpg,test,GAPS384_train_0987_541_641_jpg,192,64,128,5e62fc0250f777b6b1eed8795686f36220251fcfed8b1e17c517d5f959fc449d
9,images/test/CRACK500_20160329_094016_1281_721_jpg.rf.1c42ba316699488e92a1eeca7afcaab7.jpg,test,CRACK500_20160329_094016_1281_721_jpg,128,192,128,85c074f65cc3110bd59e8dd1eda4402bddee9147847adf1a72579ac290da6056
10,images/test/img-215_jpg.rf.e06d3990347bea07fa22c98b09f22c8a.jpg,test,img-215_jpg,0,64,128,02a451744b8303b86801e184f99c0a6f4827541a66bca4db335441285929b3cc
11,images/test/CRACK500_20160307_145259_641_721_jpg.rf.51e0631b52f1967fac557b3aba6c32d3.jpg,test,CRACK500_20160307_145259_641_721_jpg,0,256,128,db763df969e23d97b13b6e3cf6804c2d628f41589018dc70c4032c2054ad7dc8
12,images/test/CRACK500_20160316_142031_1921_721_jpg.rf.d7b41a1758c00347c8ac667a9aa11dfa.jpg,test,CRACK500_20160316_142031_1921_721_jpg,0,192,128,a0ae8f883bd29572c08a4a2994e6e44ad8de9bd861b8816bc687ad4dc43ba51b
13,images/test/img-277_jpg.rf.bb32db13a75e05b49dde9b12baa501e4.jpg,test,img-277_jpg,128,256,128,3cdee10e688392bd96076b8375c8d6ca6aba2687e8f4cca0016a320c953735b4
14,images/test/CRACK500_20160222_081011_1921_721_jpg.rf.3447fcb6e000d28bba7346adecd58a50.jpg,test,CRACK500_20160222_081011_1921_721_jpg,192,64,128,79d42f4deda979747c5b26a18e8ea67d5909f51b0fa5e20a3d2487f5ccebc096
15,images/test/CRACK500_20160328_153629_641_721_jpg.rf.9ca0e8db54a9fe0e75fd6f6f48bdbb9d.jpg,test,CRACK500_20160328_153629_641_721_jpg,128,128,128,26d46fb1392f92f6040b91e80145d078e8e8f3f26c8d78d9626bc5bcb819721e
16,images/test/398_png_jpg.rf.63cf1218dec07a165131504ea01e9ca8.jpg,test,398_png_jpg,256,256,128,540f4a016f001e374c6b3c38b5fba6e9c0934c0eb68ad906599795040e2dfe53
17,images/test/195_png_jpg.rf.dedf6adb5ab14a0325464fa71805b16b.jpg,test,195_png_jpg,128,0,128,8b5d65998b987e857b412943a3ffb164dedef907bee25e99bcdcde6425457982
18,images/test/CRACK500_20160303_092627_1_721_jpg.rf.25567a9aab110748b988ca1a76f190a8.jpg,test,CRACK500_20160303_092627_1_721_jpg,256,192,128,da6c3aa5fa8b2ab635f09363fa9ecb5bdaabae8ea470e78a1ba2a8affd702272
19,images/test/294_png_jpg.rf.aad57f34b251f5d8e44dbabd2cb96aed.jpg,test,294_png_jpg,0,64,128,2f131f36f7a960470cda8fbd10e579082e2ea6048034fc0cb9e7e5f9c85e2e5b
20,images/test/CRACK500_20160308_155516_1_1081_jpg.rf.9b1e8e420631bf11d11db8109266013a.jpg,test,CRACK500_20160308_155516_1_1081_jpg,64,0,128,068b6c337440f744987fb9dfa208421f3cf11a1f731b19270c7fcdaccdd16d1b
21,images/test/CRACK500_20160222_164851_641_1_jpg.rf.cb31fa6ef40ada49bfb9e7ab28135e3b.jpg,test,CRACK500_20160222_164851_641_1_jpg,128,128,128,6ceec022986f1a2adc1756e862a20cf0ba687055b701c4b800cfb2a3f4f422d5
