source_group,split,n_images,n_boxes,crack_boxes,pothole_boxes,background_only
011_png_jpg,train,3,12,0,12,0
013_png_jpg,train,3,12,0,12,0
016_png_jpg,train,3,12,0,12,0
018_png_jpg,train,3,12,0,12,0
019_png_jpg,train,3,12,0,12,0
024_png_jpg,train,3,15,0,15,0
025_png_jpg,val,1,5,0,5,0
028_png_jpg,train,1,5,0,5,0
029_png_jpg,train,1,5,0,5,0
030_png_jpg,train,1,5,0,5,0
031_png_jpg,train,3,15,0,15,0
033_png_jpg,train,3,15,0,15,0
035_png_jpg,train,3,15,0,15,0
036_png_jpg,train,1,5,0,5,0
041_png_jpg,train,3,16,0,16,0
046_png_jpg,train,3,15,0,15,0
047_png_jpg,test,1,7,0,7,0
054_png_jpg,val,1,5,0,5,0
058_png_jpg,train,3,18,0,18,0
061_png_jpg,train,3,18,0,18,0
063_png_jpg,train,3,18,0,18,0
066_png_jpg,train,3,27,0,27,0
067_png_jpg,val,1,8,0,8,0
068_png_jpg,train,3,21,0,21,0
069_png_jpg,train,3,28,0,28,0
071_png_jpg,test,1,9,0,9,0
072_png_jpg,train,3,27,0,27,0
074_png_jpg,train,3,27,0,27,0
075_png_jpg,train,3,26,0,26,0
080_png_jpg,val,1,9,0,9,0
083_png_jpg,train,1,9,0,9,0
087_png_jpg,train,1,10,0,10,0
091_png_jpg,train,1,10,0,10,0
095_png_jpg,test,1,10,0,10,0
097_png_jpg,train,3,21,0,21,0
106_png_jpg,test,1,9,0,9,0
111_png_jpg,train,1,8,0,8,0
112_png_jpg,train,3,27,0,27,0
115_png_jpg,val,1,10,0,10,0
119_png_jpg,test,1,10,0,10,0
122_png_jpg,train,3,7,0,7,0
126_png_jpg,train,3,7,0,7,0
130_png_jpg,train,3,33,0,33,0
131_png_jpg,train,1,11,0,11,0
132_png_jpg,train,3,34,0,34,0
137_png_jpg,train,3,26,0,26,0
139_png_jpg,train,3,6,0,6,0
140_png_jpg,train,3,9,0,9,0
141_png_jpg,train,3,21,0,21,0
142_png_jpg,train,3,18,0,18,0
143_png_jpg,test,1,2,0,2,0
145_png_jpg,train,4,18,0,18,0
149_png_jpg,train,3,21,0,21,0
152_png_jpg,train,1,2,0,2,0
153_png_jpg,train,3,24,0,24,0
154_png_jpg,train,1,9,0,9,0
156_png_jpg,train,3,30,0,30,0
163_png_jpg,train,3,9,0,9,0
166_png_jpg,train,3,9,0,9,0
167_png_jpg,train,3,21,0,21,0
168_png_jpg,train,1,7,0,7,0
170_png_jpg,train,1,6,0,6,0
171_png_jpg,train,1,7,0,7,0
173_png_jpg,train,6,24,0,24,0
174_png_jpg,train,3,19,0,19,0
175_png_jpg,train,3,6,0,6,0
176_png_jpg,test,1,2,0,2,0
178_png_jpg,train,3,15,0,15,0
179_png_jpg,train,6,21,0,21,0
180_png_jpg,train,6,19,0,19,0
181_png_jpg,train,3,18,0,18,0
190_png_jpg,train,1,4,0,4,0
192_png_jpg,train,3,0,0,0,1
193_png_jpg,train,3,0,0,0,1
195_png_jpg,train,3,11,0,11,0
198_png_jpg,train,3,6,0,6,0
199_png_jpg,train,1,2,0,2,0
20160222_080850_jpg,train,4,4,4,0,0
20160222_080933_jpg,train,2,2,2,0,0
20160222_081011_jpg,train,1,1,1,0,0
20160222_081031_jpg,test,1,1,1,0,0
20160222_081102_jpg,train,1,2,2,0,0
20160222_081111_jpg,test,1,1,1,0,0
20160222_081113_jpg,train,4,4,4,0,0
20160222_081839_jpg,train,4,12,12,0,0
20160222_081908_jpg,test,1,2,2,0,0
20160222_082414_jpg,train,1,1,1,0,0
20160222_115233_jpg,test,1,1,1,0,0
20160222_115305_jpg,train,1,3,3,0,0
20160222_115738_jpg,train,1,1,1,0,0
20160222_115805_jpg,train,2,2,2,0,0
20160222_115828_jpg,train,2,2,2,0,0
20160222_115833_jpg,train,3,3,3,0,0
20160222_163940_jpg,train,3,3,3,0,0
20160222_164021_jpg,train,3,3,3,0,0
20160222_164936_jpg,train,3,3,3,0,0
20160222_165031_jpg,train,1,1,1,0,0
20160222_165037_jpg,train,4,4,4,0,0
20160222_165218_jpg,train,1,3,3,0,0
20160222_165225_jpg,test,1,1,1,0,0
20160222_165256_jpg,test,1,2,2,0,0
20160222_165402_jpg,train,1,1,1,0,0
20160222_165625_jpg,val,1,1,1,0,0
20160222_165715_jpg,val,1,2,2,0,0
20160222_165919_jpg,train,1,2,2,0,0
20160222_165926_jpg,train,1,3,3,0,0
20160222_165937_jpg,test,1,2,2,0,0
20160225_114503_jpg,train,3,6,6,0,0
20160225_114514_jpg,train,3,9,9,0,0
20160225_114531_jpg,train,3,3,3,0,0
20160225_114535_jpg,train,3,3,3,0,0
20160302_155848_jpg,train,4,4,4,0,0
20160302_155914_jpg,train,2,2,2,0,0
20160302_155919_jpg,train,1,1,1,0,0
20160302_155925_jpg,train,3,3,3,0,0
20160302_160033_jpg,test,1,1,1,0,0
20160303_091825_jpg,train,3,3,3,0,0
20160303_091830_jpg,train,1,1,1,0,0
20160303_091837_jpg,train,4,4,4,0,0
20160303_092627_jpg,test,1,1,1,0,0
20160303_092806_jpg,train,3,6,6,0,0
20160303_092839_jpg,val,1,1,1,0,0
20160303_093353_jpg,train,3,3,3,0,0
20160303_093400_jpg,test,1,1,1,0,0
20160303_093527_jpg,train,1,2,2,0,0
20160306_103613_jpg,train,4,4,4,0,0
20160306_103632_jpg,train,4,7,7,0,0
20160306_103638_jpg,train,4,10,10,0,0
20160306_103657_jpg,train,4,7,7,0,0
20160306_103830_jpg,train,3,9,9,0,0
20160306_103903_jpg,train,4,4,4,0,0
20160306_104456_jpg,train,3,6,6,0,0
20160306_104522_jpg,train,3,6,6,0,0
20160306_104527_jpg,test,1,1,1,0,0
20160307_143827_jpg,train,3,3,3,0,0
20160307_144115_jpg,train,4,4,4,0,0
20160307_144202_jpg,train,2,2,2,0,0
20160307_144252_jpg,train,1,1,1,0,0
20160307_144916_jpg,val,1,1,1,0,0
20160307_144924_jpg,train,1,1,1,0,0
20160307_144931_jpg,train,3,6,6,0,0
20160307_145000_jpg,train,1,1,1,0,0
20160307_145059_jpg,train,3,9,9,0,0
20160307_145107_jpg,val,1,2,2,0,0
20160307_145255_jpg,train,4,4,4,0,0
20160307_145259_jpg,train,4,4,4,0,0
20160307_162438_jpg,train,3,3,3,0,0
20160307_162704_jpg,train,3,9,9,0,0
20160307_163342_jpg,train,3,3,3,0,0
20160307_163352_jpg,train,3,3,3,0,0
20160307_163537_jpg,train,4,7,7,0,0
20160307_163552_jpg,train,4,8,8,0,0
20160307_163613_jpg,train,3,3,3,0,0
20160307_163627_jpg,train,3,3,3,0,0
20160307_163641_jpg,val,1,1,1,0,0
20160307_164143_jpg,train,1,2,2,0,0
20160307_164214_jpg,test,1,1,1,0,0
20160307_164226_jpg,test,1,4,4,0,0
20160307_164301_jpg,train,3,6,6,0,0
20160307_164319_jpg,train,3,6,6,0,0
20160307_164334_jpg,train,3,6,6,0,0
20160307_164400_jpg,train,4,8,8,0,0
20160307_164517_jpg,train,3,6,6,0,0
20160308_072824_jpg,train,3,6,6,0,0
20160308_072831_jpg,train,3,6,6,0,0
20160308_072844_jpg,train,3,3,3,0,0
20160308_072921_jpg,train,3,3,3,0,0
20160308_072927_jpg,train,3,6,6,0,0
20160308_072935_jpg,train,2,2,2,0,0
20160308_072944_jpg,test,1,2,2,0,0
20160308_072951_jpg,train,3,6,6,0,0
20160308_073213_jpg,train,2,2,2,0,0
20160308_073245_jpg,train,4,8,8,0,0
20160308_073310_jpg,train,3,6,6,0,0
20160308_073356_jpg,train,3,3,3,0,0
20160308_073406_jpg,train,4,4,4,0,0
20160308_073532_jpg,val,1,1,1,0,0
20160308_073736_jpg,train,3,3,3,0,0
20160308_074101_jpg,train,4,4,4,0,0
20160308_074134_jpg,train,3,6,6,0,0
20160308_074321_jpg,val,1,2,2,0,0
20160308_074330_jpg,train,3,3,3,0,0
20160308_074702_jpg,train,2,2,2,0,0
20160308_155516_jpg,train,3,12,12,0,0
20160308_155537_jpg,train,4,4,4,0,0
20160308_155720_jpg,train,3,6,6,0,0
20160308_155731_jpg,train,3,3,3,0,0
20160308_155737_jpg,train,3,6,6,0,0
20160308_155828_jpg,train,4,4,4,0,0
20160308_155836_jpg,train,4,4,4,0,0
20160308_155847_jpg,val,1,2,2,0,0
20160308_160053_jpg,train,4,4,4,0,0
20160310_114418_jpg,train,4,4,4,0,0
20160310_114425_jpg,train,3,3,3,0,0
20160310_114429_jpg,train,4,4,4,0,0
20160310_114441_jpg,train,4,4,4,0,0
20160310_114446_jpg,train,3,3,3,0,0
20160310_114459_jpg,train,4,4,4,0,0
20160310_114505_jpg,train,3,3,3,0,0
20160310_114658_jpg,train,1,1,1,0,0
20160316_141721_jpg,train,2,2,2,0,0
20160316_141736_jpg,train,2,4,4,0,0
20160316_142009_jpg,train,1,1,1,0,0
20160316_142014_jpg,train,3,6,6,0,0
20160316_142027_jpg,train,3,6,6,0,0
20160316_142031_jpg,train,4,4,4,0,0
20160316_142035_jpg,train,3,6,6,0,0
20160316_142223_jpg,train,4,4,4,0,0
20160316_142226_jpg,train,4,4,4,0,0
20160316_142449_jpg,train,3,3,3,0,0
20160316_142539_jpg,train,3,3,3,0,0
20160316_143445_jpg,train,3,9,9,0,0
20160316_143527_jpg,train,3,9,9,0,0
20160316_143547_jpg,train,2,3,3,0,0
20160316_143603_jpg,train,3,9,9,0,0
20160316_143624_jpg,train,1,2,2,0,0
20160316_143629_jpg,train,2,2,2,0,0
20160316_144105_jpg,train,3,9,9,0,0
20160316_144203_jpg,train,3,3,3,0,0
20160316_144212_jpg,train,2,2,2,0,0
20160316_144230_jpg,test,1,2,2,0,0
20160316_144241_jpg,train,3,6,6,0,0
20160316_183217_jpg,train,3,3,3,0,0
20160318_084343_jpg,train,4,4,4,0,0
20160318_181602_jpg,train,4,7,7,0,0
20160318_181627_jpg,train,3,6,6,0,0
20160318_181632_jpg,test,1,2,2,0,0
20160318_181712_jpg,train,4,4,4,0,0
20160321_183909_jpg,train,3,3,3,0,0
20160321_183947_jpg,train,2,2,2,0,0
20160321_183951_jpg,train,3,6,6,0,0
20160321_185457_jpg,train,1,2,2,0,0
20160321_185518_jpg,train,3,6,6,0,0
20160321_185534_jpg,train,1,1,1,0,0
20160324_165857_jpg,train,4,4,4,0,0
20160324_170309_jpg,train,2,4,4,0,0
20160324_170323_jpg,train,4,4,4,0,0
20160324_170347_jpg,train,3,3,3,0,0
20160324_170408_jpg,train,4,4,4,0,0
20160324_170542_jpg,train,4,4,4,0,0
20160324_170655_jpg,test,1,1,1,0,0
20160324_173501_jpg,train,3,3,3,0,0
20160324_173527_jpg,train,3,3,3,0,0
20160325_185829_jpg,val,1,2,2,0,0
20160326_142309_jpg,train,4,4,4,0,0
20160326_142327_jpg,train,3,6,6,0,0
20160326_142349_jpg,train,3,3,3,0,0
20160326_142403_jpg,train,3,6,6,0,0
20160326_144512_jpg,train,4,4,4,0,0
20160326_150104_jpg,train,4,4,4,0,0
20160326_150319_jpg,train,4,4,4,0,0
20160326_150337_jpg,test,1,1,1,0,0
20160326_162529_jpg,train,3,3,3,0,0
20160326_162532_jpg,train,4,4,4,0,0
20160326_162538_jpg,train,3,6,6,0,0
20160328_150821_jpg,train,3,3,3,0,0
20160328_150827_jpg,train,1,3,3,0,0
20160328_150932_jpg,train,3,3,3,0,0
20160328_150940_jpg,train,3,6,6,0,0
20160328_151013_jpg,train,3,6,6,0,0
20160328_151014_jpg,train,3,6,6,0,0
20160328_151020_jpg,train,3,3,3,0,0
20160328_151027_jpg,train,3,6,6,0,0
20160328_151056_jpg,train,3,6,6,0,0
20160328_151057_jpg,train,3,6,6,0,0
20160328_151151_jpg,train,3,6,6,0,0
20160328_151201_jpg,train,4,4,4,0,0
20160328_151212_jpg,train,1,1,1,0,0
20160328_151241_jpg,val,1,1,1,0,0
20160328_151243_jpg,train,2,2,2,0,0
20160328_151247_jpg,train,3,6,6,0,0
20160328_151252_jpg,train,3,6,6,0,0
20160328_151343_jpg,train,3,6,6,0,0
20160328_151402_jpg,train,3,9,9,0,0
20160328_151409_jpg,train,3,3,3,0,0
20160328_151413_jpg,train,3,6,6,0,0
20160328_151423_jpg,train,3,3,3,0,0
20160328_151429_jpg,train,3,9,9,0,0
20160328_151504_jpg,train,3,6,6,0,0
20160328_151506_jpg,train,2,2,2,0,0
20160328_151657_jpg,train,3,3,3,0,0
20160328_151728_jpg,train,4,4,4,0,0
20160328_151752_jpg,train,4,4,4,0,0
20160328_151808_jpg,train,3,9,9,0,0
20160328_151814_jpg,train,4,4,4,0,0
20160328_151945_jpg,train,1,1,1,0,0
20160328_152022_jpg,train,3,9,9,0,0
20160328_152305_jpg,train,4,4,4,0,0
20160328_152308_jpg,train,4,4,4,0,0
20160328_152322_jpg,train,4,11,11,0,0
20160328_152328_jpg,train,4,4,4,0,0
20160328_152336_jpg,val,1,1,1,0,0
20160328_152511_jpg,train,2,2,2,0,0
20160328_152514_jpg,train,4,4,4,0,0
20160328_152747_jpg,train,1,1,1,0,0
20160328_153020_jpg,train,4,4,4,0,0
20160328_153241_jpg,train,3,3,3,0,0
20160328_153327_jpg,train,4,4,4,0,0
20160328_153357_jpg,train,3,6,6,0,0
20160328_153404_jpg,train,3,3,3,0,0
20160328_153421_jpg,train,1,2,2,0,0
20160328_153524_jpg,train,4,4,4,0,0
20160328_153533_jpg,train,3,12,12,0,0
20160328_153536_jpg,train,4,7,7,0,0
20160328_153540_jpg,train,3,9,9,0,0
20160328_153544_jpg,test,1,2,2,0,0
20160328_153548_jpg,train,3,9,9,0,0
20160328_153553_jpg,train,4,8,8,0,0
20160328_153556_jpg,train,3,6,6,0,0
20160328_153559_jpg,train,4,4,4,0,0
20160328_153604_jpg,train,3,6,6,0,0
20160328_153612_jpg,train,3,9,9,0,0
20160328_153616_jpg,train,3,9,9,0,0
20160328_153620_jpg,train,3,6,6,0,0
20160328_153623_jpg,train,4,4,4,0,0
20160328_153629_jpg,train,3,3,3,0,0
20160328_153632_jpg,train,3,6,6,0,0
20160328_153654_jpg,train,3,6,6,0,0
20160328_153657_jpg,test,1,3,3,0,0
20160328_153702_jpg,test,1,4,4,0,0
20160328_153706_jpg,test,1,4,4,0,0
20160328_153714_jpg,train,3,12,12,0,0
20160328_153718_jpg,train,3,9,9,0,0
20160328_153724_jpg,train,3,9,9,0,0
20160328_153732_jpg,train,2,2,2,0,0
20160328_153801_jpg,train,1,1,1,0,0
20160328_153821_jpg,train,3,6,6,0,0
20160328_153829_jpg,test,1,2,2,0,0
20160328_153845_jpg,train,3,9,9,0,0
20160328_153848_jpg,train,3,6,6,0,0
20160328_153915_jpg,train,4,4,4,0,0
20160328_153918_jpg,train,1,1,1,0,0
20160328_154011_jpg,train,3,9,9,0,0
20160328_154017_jpg,train,3,6,6,0,0
20160328_154159_jpg,train,3,6,6,0,0
20160328_154202_jpg,train,3,6,6,0,0
20160328_154318_jpg,train,1,2,2,0,0
20160328_154325_jpg,train,1,2,2,0,0
20160328_154334_jpg,train,3,3,3,0,0
20160328_154352_jpg,train,3,6,6,0,0
20160328_154356_jpg,train,3,6,6,0,0
20160328_154429_jpg,train,3,3,3,0,0
20160328_154452_jpg,train,5,5,5,0,0
20160328_154454_jpg,train,2,2,2,0,0
20160328_154535_jpg,train,1,1,1,0,0
20160328_154540_jpg,train,3,3,3,0,0
20160329_093920_jpg,train,1,3,3,0,0
20160329_093924_jpg,test,1,2,2,0,0
20160329_094003_jpg,train,2,2,2,0,0
20160329_094006_jpg,val,1,3,3,0,0
20160329_094010_jpg,train,2,2,2,0,0
20160329_094016_jpg,test,1,1,1,0,0
20160329_094025_jpg,test,1,1,1,0,0
20160329_094055_jpg,test,1,2,2,0,0
20160329_094507_jpg,test,1,1,1,0,0
20160329_094512_jpg,test,1,2,2,0,0
20160329_094527_jpg,train,2,3,3,0,0
20160329_094632_jpg,train,2,4,4,0,0
20160329_101342_jpg,train,2,4,4,0,0
20160329_101347_jpg,train,2,2,2,0,0
20160329_101503_jpg,val,1,3,3,0,0
20160329_101507_jpg,train,1,2,2,0,0
20160329_101511_jpg,train,2,3,3,0,0
20160329_101514_jpg,train,2,2,2,0,0
20160329_101520_jpg,train,2,4,4,0,0
20160329_101524_jpg,train,2,2,2,0,0
20160329_103530_jpg,test,1,1,1,0,0
20160329_103609_jpg,train,3,3,3,0,0
20160329_103626_jpg,val,1,1,1,0,0
20160329_103800_jpg,val,1,2,2,0,0
20160329_103807_jpg,train,1,1,1,0,0
20160329_104024_jpg,test,1,2,2,0,0
20160329_104031_jpg,test,1,2,2,0,0
20160329_104035_jpg,train,1,2,2,0,0
